epoch,step,train_loss,val_acc,val_ap,val_auroc,val_f1
0,6,,0.1057777851819992,0.1949908286333084,0.4830460250377655,0.02149556577205658
1,13,,0.1057777851819992,0.20706966519355774,0.49594879150390625,0.02149556577205658
2,20,,0.1057777851819992,0.19882597029209137,0.48952075839042664,0.02149556577205658
3,27,,0.09777778387069702,0.21771745383739471,0.526990532875061,0.019140096381306648
4,34,,0.09777778387069702,0.2783738970756531,0.6100332736968994,0.019140096381306648
5,41,,0.10577777773141861,0.49504271149635315,0.7618862986564636,0.029926884919404984
6,48,,0.2650412619113922,0.8489872217178345,0.9361921548843384,0.21680325269699097
7,49,1.132751703262329,,,,
7,55,,0.41464555263519287,0.9639819860458374,0.9579458832740784,0.3935377597808838
8,62,,0.946755588054657,1.0,0.9639999866485596,0.9351261258125305
9,69,,0.8597333431243896,1.0,0.9639999866485596,0.8237435817718506
