epoch,step,train_loss,val_acc,val_ap,val_auroc,val_f1
0,6,,0.11555556207895279,0.20464836061000824,0.45387351512908936,0.031205805018544197
1,13,,0.08989207446575165,0.2003927379846573,0.45445138216018677,0.03902694582939148
2,20,,0.10041482001543045,0.20990115404129028,0.4868828058242798,0.04326420649886131
3,27,,0.11294814944267273,0.21530723571777344,0.5014801621437073,0.04930868744850159
4,34,,0.11551322788000107,0.22469711303710938,0.5057485103607178,0.05712217465043068
5,41,,0.12617988884449005,0.228730246424675,0.5094727277755737,0.07013953477144241
6,48,,0.1389206349849701,0.22821009159088135,0.50969398021698,0.07848862558603287
7,49,2.270406723022461,,,,
7,55,,0.13193652033805847,0.2323743999004364,0.5106480121612549,0.07018157839775085
8,62,,0.13549207150936127,0.22876955568790436,0.512225329875946,0.07249981164932251
9,69,,0.13549207150936127,0.2298319935798645,0.5135629773139954,0.0726180374622345
